City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
301,Zeya,RU,26.71,scattered clouds,53.75,127.2667,Kapital Inn
304,Solnechnyy,RU,23.31,light snow,50.7214,136.6319,Hotel complex Pastoral
305,De-Kastri,RU,26.85,light snow,51.4667,140.7833,Somon Hotel
306,Paamiut,GL,33.01,overcast clouds,61.994,-49.6678,Pistut
307,Mandalgovi,MN,21.88,broken clouds,45.7625,106.2708,В.Ганбат
308,Bucerias,MX,78.78,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
309,Batemans Bay,AU,59.09,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
310,Atambua,ID,74.19,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
312,Ahipara,NZ,65.61,light rain,-35.1667,173.1667,Ahipara Holiday Park
313,Nemuro,JP,36.21,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
314,Namibe,AO,75.83,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
315,Boa Vista,BR,91.38,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
318,Andreapol,RU,38.07,overcast clouds,56.6513,32.2664,Gostevoy Dom Uyut
320,Quelimane,MZ,80.55,few clouds,-17.8786,36.8883,Hotel Flamingo
321,Solok,ID,74.35,overcast clouds,-0.7918,100.6593,Mami Hotel & Restaurant
322,Pokrovskoye,RU,47.05,overcast clouds,47.4157,38.8971,Тихий уголок
323,Octeville,FR,55.89,clear sky,49.6261,-1.6435,Hôtel Le Louvre Cherbourg
324,Indramayu,ID,80.94,clear sky,-6.3264,108.32,Grand Trisula Hotel
325,Kushima,JP,64.72,few clouds,31.4583,131.2333,Hanaoka
327,Panzhihua,CN,63.75,few clouds,26.5851,101.7128,Electric Power Hotel
328,Viedma,AR,55.87,broken clouds,-40.8135,-62.9967,Hotel Cristal
329,Nagyrabe,HU,52.36,clear sky,47.2,21.3333,Módos Falusi Szálláshely
330,Teahupoo,PF,71.56,few clouds,-17.8333,-149.2667,Vanira Lodge
331,Hofn,IS,38.14,overcast clouds,64.2539,-15.2082,Hótel Höfn
332,Ainazi,LV,38.17,clear sky,57.8636,24.3578,Ikla Hostel
335,Victoria Point,AU,68.43,few clouds,-27.5833,153.3,Bay Retreat Motel
337,Anadyr,RU,25.3,light snow,64.75,177.4833,Отке17.ру — жильё для командированных
338,Mareeba,AU,72.32,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
340,Port Augusta,AU,68.04,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
341,Clyde River,CA,3.43,overcast clouds,70.4692,-68.5914,Qamaq Hotel
342,Port Moresby,PG,74.62,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
343,Old Saybrook,US,63.95,clear sky,41.2918,-72.3762,Saybrook Point Resort & Marina - Luxury Connecticut Oceanside Hotel
344,Tottori,JP,60.96,scattered clouds,35.5,134.2333,Hotel Monarque Tottori
345,Sorland,NO,40.86,scattered clouds,67.667,12.6934,Sjybrygga fiskecamp
346,Altamira,BR,87.89,scattered clouds,-3.2033,-52.2064,Requinte Hotel
347,Iquique,CL,68.04,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
348,Marsa Matruh,EG,59.2,clear sky,31.3525,27.2453,Beau Site
350,Roma,US,60.73,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
351,Vicente Guerrero,MX,70.99,overcast clouds,19.1194,-98.1708,Instituto De Seguridad Y Servicios Sociales De Los Trabajadores Del Estado
352,Bardiyah,LY,59.11,clear sky,31.7561,25.0865,بورتو بردية
353,Soyo,AO,80.24,overcast clouds,-6.1349,12.3689,Hotel Mpampa
354,Meulaboh,ID,78.39,overcast clouds,4.1363,96.1285,Kost Pria
355,Taunggyi,MM,67.75,clear sky,20.7833,97.0333,True Treasure Hotel
357,Great Falls,US,21.67,overcast clouds,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
358,Ucluelet,CA,41.31,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
359,Sitka,US,37.29,few clouds,57.0531,-135.33,Westmark Sitka
360,Muroto,JP,65.07,overcast clouds,33.2833,134.15,Oota Ryokan
361,Sao Filipe,CV,72.37,overcast clouds,14.8961,-24.4956,Hotel Xaguate
362,Merrill,US,53.67,overcast clouds,45.1805,-89.6835,Prairie Motel
363,Ellsworth,US,53.13,overcast clouds,44.5434,-68.4195,Hampton Inn Ellsworth/Bar Harbor
364,Broome,US,64.02,clear sky,42.2506,-75.833,Chenango Valley State Park
