City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
233,Matagami,CA,2022-04-04 17:39:10,49.7502,-77.6328,33.91,37,0,4.61
234,Metu,ET,2022-04-04 17:39:11,8.3,35.5833,67.86,60,68,3.49
235,Lasa,IT,2022-04-04 17:39:11,46.6166,10.7002,47.28,89,56,2.71
236,Yellowknife,CA,2022-04-04 17:36:51,62.456,-114.3525,32.41,68,75,14.97
237,Livingston,GB,2022-04-04 17:36:09,55.9029,-3.5226,52.81,79,75,11.5
238,Caravelas,BR,2022-04-04 17:39:12,-17.7125,-39.2481,83.8,63,7,7.65
239,Deoband,IN,2022-04-04 17:39:13,29.7,77.6833,76.51,8,50,4.12
240,Bengkulu,ID,2022-04-04 17:39:13,-3.8004,102.2655,76.32,85,84,4.52
241,Wanaka,NZ,2022-04-04 17:38:21,-44.7,169.15,55.04,93,100,4.54
242,Hirara,JP,2022-04-04 17:39:14,24.8,125.2833,68.88,59,10,12.62
243,West Monroe,US,2022-04-04 17:39:14,32.5185,-92.1476,79.02,52,0,5.75
244,Nur,PL,2022-04-04 17:39:15,52.6683,22.3221,36.7,79,93,19.6
245,Araouane,ML,2022-04-04 17:39:15,18.9048,-3.5265,96.75,9,0,9.71
246,Ati,TD,2022-04-04 17:39:16,13.2154,18.3353,92.01,9,15,6.69
247,Hanumangarh,IN,2022-04-04 17:39:16,29.5833,74.3167,82.98,7,96,7.72
248,Longyearbyen,SJ,2022-04-04 17:39:16,78.2186,15.6401,10.24,56,30,25.32
249,Morehead,US,2022-04-04 17:39:17,37.2711,-87.1764,54.79,67,100,9.22
250,Coihaique,CL,2022-04-04 17:39:17,-45.5752,-72.0662,56.01,71,75,5.75
251,Mahebourg,MU,2022-04-04 17:39:18,-20.4081,57.7,79.25,83,100,11.5
252,Salalah,OM,2022-04-04 17:34:19,17.0151,54.0924,80.69,89,0,3.44
253,Jumla,NP,2022-04-04 17:39:19,29.2747,82.1838,49.08,35,19,4.59
254,Teya,RU,2022-04-04 17:39:19,60.3778,92.6267,17.38,91,100,3.56
255,Krasnoselkup,RU,2022-04-04 17:39:19,65.7,82.4667,26.4,94,100,23.71
